Name,Size,Major,SF_status,Gender,Vertex
American,6386,0.0424026511,0.0727433515,0.0131148908,0.0660224989
Amherst,2235,0.0384274906,0.1377607856,0.0265729865,0.0584283892
Auburn,18448,0.038783672,0.042105383,0.0409349813,0.0010457492
Baylor,12803,0.0429860637,0.081394912,0.0416569131,0.0787298039
BC,11509,0.0375388536,0.1857244912,0.0075640781,0.0760331614
Berkeley,22937,0.0557709554,0.076186452,0.0226527316,0.0103134591
Bingham,10004,0.044275165,0.0790764075,0.007884559,0.1373640647
Bowdoin,2252,0.0481569091,0.1239099557,0.0192301787,0.0562045746
Brandeis,3898,0.0372045372,0.1194005418,0.0099155715,-0.0255153302
Brown,8600,0.0372719738,0.1666973063,0.0144439677,0.0693887712
BU,19700,0.065719696,0.1173700152,0.0094003825,0.0453658383
Bucknell,3826,0.0478730049,0.1187742992,0.0511828376,0.0945074025
Cal,11247,0.1003157579,0.0292125248,0.0106101448,0.1916121889
Caltech,769,0.0320811642,0.0777177491,0.0233782023,-0.0652729512
Carnegie,6637,0.124834483,0.1052828333,0.0447652372,0.1225068616
Colgate,3482,0.0482667653,0.14079863,0.0395120878,0.0670008825
Columbia,11770,0.0405838038,0.1554395876,0.0383096981,-0.0021781551
Cornell,18660,0.0842183378,0.1575013709,0.0405744579,0.0180500469
Dartmouth,7694,0.0363963483,0.1806229392,0.0443481627,0.0443844531
Duke,9895,0.0393139765,0.1722759782,0.0463126143,0.0666733665
Emory,7460,0.032219181,0.1155504923,0.0406426537,0.0663278031
FSU,27737,0.041756411,0.0546950994,0.0178757309,0.0993615541
Georgetown,9414,0.0388706901,0.2088706626,0.0074868385,0.0754202637
GWU,12193,0.0401916607,0.1059958277,0.0134340201,0.025287319
Hamilton,2314,0.035099643,0.1002551168,0.0416783005,0.0305936709
Harvard,15126,0.0466148287,0.2710901423,0.0261773368,0.1450548877
Haverford,1446,0.0318897851,0.0961166776,0.0290473658,0.0674921177
Howard,4047,0.0410223653,0.0498642719,-0.0420214143,0.0578825176
Indiana,29747,0.0422022878,0.0700978653,0.0076090848,0.1329342627
JMU,14070,0.051095977,0.0621743825,-0.0028679781,0.002951501
