p1,size
0,1
0.01,0.9999736
0.02,0.9998626
0.03,0.9997166
0.04,0.999474
0.05,0.9990814
0.06,0.9985946
0.07,0.9984796
0.08,0.9976808
0.09,0.9967666
0.1,0.996383
0.11,0.9956332
0.12,0.9943872
0.13,0.993266
0.14,0.9922532
0.15,0.991095
0.16,0.9890124
0.17,0.988273
0.18,0.9868062
0.19,0.9845784
0.2,0.9814244
0.21,0.9805692
0.22,0.9770638
0.23,0.9755442
0.24,0.9736088
0.25,0.9708212
0.26,0.9651106
0.27,0.967079
0.28,0.9621702
0.29,0.9584184
0.3,0.9579302
0.31,0.9507244
0.32,0.9451162
0.33,0.9461282
0.34,0.9403052
0.35,0.9376882
0.36,0.9274856
0.37,0.9218246
0.38,0.9177506
0.39,0.9082228
0.4,0.9059214
0.41,0.8971614
0.42,0.888457
0.43,0.8850024
0.44,0.8663774
0.45,0.8787824
0.46,0.861444
0.47,0.8378668
0.48,0.8374812
0.49,0.8128572
0.5,0.8132936
0.51,0.7963072
0.52,0.7726866
0.53,0.7791372
0.54,0.7574692
0.55,0.7385898
0.56,0.71916
0.57,0.7160488
0.58,0.6937982
0.59,0.6666732
0.6,0.6522312
0.61,0.6480936
0.62,0.5996208
0.63,0.6060456
0.64,0.534482
0.65,0.5106126
0.66,0.4758712
0.67,0.4065
0.68,0.4158324
0.69,0.3303696
0.7,0.3165166
0.71,0.2640972
0.72,0.1606824
0.73,0.1070662
0.74,0.0935954
0.75,0.0548652
0.76,0.0410976
0.77,0.0247522
0.78,0.0257982
0.79,0.0150722
0.8,0.0131832
0.81,0.0103282
0.82,0.0085732
0.83,0.0063546
0.84,0.0055008
0.85,0.0051468
0.86,0.0043724
0.87,0.0033918
0.88,0.0030138
0.89,0.002674
0.9,0.0023342
0.91,0.002196
0.92,0.001937
0.93,0.0017582
0.94,0.001504
0.95,0.0012858
0.96,0.001096
0.97,0.0009306
0.98,0.0007964
0.99,0.0006676
1,0.0002
