p1,size
0,1
0.01,0.999957
0.02,0.9998597
0.03,0.9996156
0.04,0.9993217
0.05,0.9992341
0.06,0.9988242
0.07,0.998296
0.08,0.9979927
0.09,0.996957
0.1,0.9965382
0.11,0.9954678
0.12,0.9944831
0.13,0.993226
0.14,0.9925951
0.15,0.9908337
0.16,0.9891421
0.17,0.9874003
0.18,0.9857092
0.19,0.9836136
0.2,0.9820165
0.21,0.9807194
0.22,0.9782273
0.23,0.9766202
0.24,0.9743472
0.25,0.9718812
0.26,0.9678001
0.27,0.9629396
0.28,0.962193
0.29,0.957195
0.3,0.9491894
0.31,0.950755
0.32,0.9475182
0.33,0.9454221
0.34,0.9393076
0.35,0.9342088
0.36,0.9301022
0.37,0.9227146
0.38,0.9188278
0.39,0.9120265
0.4,0.9052599
0.41,0.8967174
0.42,0.887837
0.43,0.8735536
0.44,0.8656604
0.45,0.8597893
0.46,0.8640922
0.47,0.8385832
0.48,0.8351236
0.49,0.8324876
0.5,0.8154503
0.51,0.7975584
0.52,0.7796394
0.53,0.7686688
0.54,0.7625056
0.55,0.7422199
0.56,0.7235675
0.57,0.7249053
0.58,0.6943427
0.59,0.6666984
0.6,0.633924
0.61,0.6364239
0.62,0.6088224
0.63,0.5686825
0.64,0.5579846
0.65,0.5022327
0.66,0.496854
0.67,0.4172674
0.68,0.3850782
0.69,0.3001926
0.7,0.2931661
0.71,0.2339423
0.72,0.2223181
0.73,0.1063983
0.74,0.0886208
0.75,0.058394
0.76,0.0408834
0.77,0.0274729
0.78,0.0213891
0.79,0.0148116
0.8,0.0117493
0.81,0.0111857
0.82,0.0074722
0.83,0.0066864
0.84,0.006459
0.85,0.0050184
0.86,0.0038126
0.87,0.003528
0.88,0.003095
0.89,0.0028814
0.9,0.0024358
0.91,0.0021785
0.92,0.0018784
0.93,0.0017504
0.94,0.001539
0.95,0.0013484
0.96,0.0011505
0.97,0.0009762
0.98,0.0008045
0.99,0.0006393
1,0.0002
