p,e,len,size
0.5,15.5,9.1187,192.71835
0.5,15.51,9.1355,192.28275
0.5,15.52,9.1633,192.3033
0.5,15.53,9.19975,192.5087
0.5,15.54,9.2074,192.1415
0.5,15.55,9.2373,192.1366
0.5,15.56,9.229,191.87295
0.5,15.57,9.26675,191.98095
0.5,15.58,9.2947,191.96205
0.5,15.59,9.3384,191.7886
0.5,15.6,9.3321,191.65655
0.5,15.61,9.36125,191.7729
0.5,15.62,9.3449,191.46005
0.5,15.63,9.41235,191.81165
0.5,15.64,9.426,191.2662
0.5,15.65,9.4718,191.1982
0.5,15.66,9.4703,191.28225
0.5,15.67,9.49275,190.7682
0.5,15.68,9.51675,189.97905
0.5,15.69,9.53925,190.22965
0.5,15.7,9.56045,190.24675
0.5,15.71,9.572,189.89015
0.5,15.72,9.5905,189.1478
0.5,15.73,9.60535,188.6685
0.5,15.74,9.6488,188.69985
0.5,15.75,9.66105,188.25635
0.5,15.76,9.6859,187.53625
0.5,15.77,9.7272,186.82
0.5,15.78,9.67935,185.3202
0.5,15.79,9.69715,185.11365
0.5,15.8,9.6839,183.4168
0.5,15.81,9.65515,181.62745
0.5,15.82,9.67425,181.40105
0.5,15.83,9.6719,180.79185
0.5,15.84,9.6551,179.5035
0.5,15.85,9.6116,176.49935
0.5,15.86,9.62175,176.4726
0.5,15.87,9.52765,172.5638
0.5,15.88,9.42,169.4717
0.5,15.89,9.4162,167.6013
0.5,15.9,9.26575,163.0789
0.5,15.91,9.18255,160.3175
0.5,15.92,8.9811,155.9309
0.5,15.93,8.8927,152.29725
0.5,15.94,8.5812,144.40215
0.5,15.95,8.43075,140.0109
0.5,15.96,8.1699,133.38635
0.5,15.97,7.8647,126.1489
0.5,15.98,7.45655,116.4293
0.5,15.99,7.0391,106.8575
0.5,16,6.5489,96.4051
0.76,15.5,7.24435,199.28315
0.76,15.51,7.2763,199.18515
0.76,15.52,7.30005,199.15265
0.76,15.53,7.3091,199.18465
0.76,15.54,7.3323,199.1162
0.76,15.55,7.32695,199.2524
0.76,15.56,7.35165,199.25005
0.76,15.57,7.39085,199.0941
0.76,15.58,7.3813,199.17075
0.76,15.59,7.3897,199.0742
0.76,15.6,7.42975,199.0794
0.76,15.61,7.45785,199.10095
0.76,15.62,7.47195,199.2276
0.76,15.63,7.47865,199.10795
0.76,15.64,7.5044,198.99675
0.76,15.65,7.5141,198.88095
0.76,15.66,7.56615,199.04675
0.76,15.67,7.59685,199.0592
0.76,15.68,7.6017,198.98765
0.76,15.69,7.6304,199.0337
0.76,15.7,7.65945,198.7741
0.76,15.71,7.67435,198.84345
0.76,15.72,7.6833,198.8457
0.76,15.73,7.75525,198.61245
0.76,15.74,7.74265,198.65765
0.76,15.75,7.7779,198.14505
0.76,15.76,7.8057,198.29345
0.76,15.77,7.8444,197.7403
0.76,15.78,7.8467,197.42805
0.76,15.79,7.847,196.54005
0.76,15.8,7.9172,196.9906
0.76,15.81,7.9249,196.09345
0.76,15.82,7.95225,195.85645
0.76,15.83,7.97755,195.4208
0.76,15.84,7.9973,194.351
0.76,15.85,8.027,193.46825
0.76,15.86,8.0304,192.1405
0.76,15.87,8.02415,190.5773
0.76,15.88,8.0133,188.76835
0.76,15.89,7.9611,186.3181
0.76,15.9,7.9452,183.8055
0.76,15.91,7.8861,181.27675
0.76,15.92,7.7471,174.90025
0.76,15.93,7.65345,172.5071
0.76,15.94,7.60505,168.40115
0.76,15.95,7.35805,160.4736
0.76,15.96,7.06275,151.03295
0.76,15.97,6.7792,142.32765
0.76,15.98,6.4636,132.97515
0.76,15.99,5.87305,116.53885
0.76,16,5.2434,99.59365
