p,e,len,size
0.01,0,1.0825,0.0857
0.01,0.1,1.0879,0.0915
0.01,0.2,1.0809,0.0841
0.01,0.3,1.0826,0.0848
0.01,0.4,1.0898,0.0935
0.01,0.5,1.0818,0.0849
0.01,0.6,1.0853,0.0885
0.01,0.7,1.0834,0.0864
0.01,0.8,1.078,0.0809
0.01,0.9,1.0805,0.0854
0.01,1,1.0808,0.0847
0.01,1.1,1.0785,0.0815
0.01,1.2,1.0845,0.0883
0.01,1.3,1.0855,0.0888
0.01,1.4,1.082,0.0855
0.01,1.5,1.0847,0.0882
0.01,1.6,1.0806,0.0836
0.01,1.7,1.0854,0.0891
0.01,1.8,1.0839,0.0875
0.01,1.9,1.0847,0.089
0.01,2,1.0838,0.0868
0.01,2.1,1.0809,0.0846
0.01,2.2,1.0864,0.0901
0.01,2.3,1.0777,0.0817
0.01,2.4,1.0876,0.0902
0.01,2.5,1.084,0.0874
0.01,2.6,1.0846,0.088
0.01,2.7,1.0808,0.0834
0.01,2.8,1.0882,0.0919
0.01,2.9,1.087,0.0903
0.01,3,1.0856,0.0886
0.01,3.1,1.088,0.0905
0.01,3.2,1.081,0.0838
0.01,3.3,1.0867,0.0905
0.01,3.4,1.0797,0.0825
0.01,3.5,1.0834,0.0868
0.01,3.6,1.0819,0.0852
0.01,3.7,1.085,0.0878
0.01,3.8,1.0841,0.0878
0.01,3.9,1.081,0.0836
0.01,4,1.0871,0.091
0.01,4.1,1.0891,0.0932
0.01,4.2,1.0868,0.0913
0.01,4.3,1.0836,0.0863
0.01,4.4,1.0809,0.0846
0.01,4.5,1.0825,0.0867
0.01,4.6,1.0839,0.0883
0.01,4.7,1.0898,0.0934
0.01,4.8,1.0832,0.0869
0.01,4.9,1.0856,0.0894
0.01,5,1.0814,0.0863
0.01,5.1,1.0824,0.0862
0.01,5.2,1.0829,0.0858
0.01,5.3,1.0836,0.087
0.01,5.4,1.0886,0.0921
0.01,5.5,1.0834,0.0855
0.01,5.6,1.0831,0.0864
0.01,5.7,1.0793,0.0826
0.01,5.8,1.083,0.0873
0.01,5.9,1.0811,0.0844
0.01,6,1.0843,0.0873
0.01,6.1,1.0802,0.0832
0.01,6.2,1.0835,0.0869
0.01,6.3,1.0873,0.0902
0.01,6.4,1.085,0.0883
0.01,6.5,1.0891,0.0927
0.01,6.6,1.0854,0.0904
0.01,6.7,1.0825,0.0859
0.01,6.8,1.0821,0.0844
0.01,6.9,1.0845,0.0874
0.01,7,1.0842,0.0881
0.01,7.1,1.0797,0.0825
0.01,7.2,1.0854,0.0893
0.01,7.3,1.0852,0.0895
0.01,7.4,1.086,0.0899
0.01,7.5,1.0819,0.085
0.01,7.6,1.0808,0.0842
0.01,7.7,1.0834,0.087
0.01,7.8,1.0814,0.085
0.01,7.9,1.0866,0.0894
