p,e,len,size
0,0,1,0
0,1,1,0
0,2,1,0
0,3,1,0
0,4,1,0
0,5,1,0
0,6,1,0
0,7,1,0
0,8,1,0
0,9,1,0
0,10,1,0
0,11,1,0
0,12,1,0
0,13,1,0
0,14,1,0
0,15,1,0
0,16,1,0
0.01,0,1.0879,0.0908
0.01,1,1.0855,0.0888
0.01,2,1.0837,0.0887
0.01,3,1.0831,0.0864
0.01,4,1.0871,0.0911
0.01,5,1.0823,0.0866
0.01,6,1.0811,0.0843
0.01,7,1.0858,0.0892
0.01,8,1.0835,0.087
0.01,9,1.0865,0.0902
0.01,10,1.0836,0.0868
0.01,11,1.0857,0.0905
0.01,12,1.0853,0.0896
0.01,13,1.0837,0.0876
0.01,14,1.0802,0.084
0.01,15,1.0809,0.0839
0.01,16,1.0842,0.088
0.02,0,1.1786,0.1963
0.02,1,1.1836,0.1975
0.02,2,1.1795,0.1936
0.02,3,1.1746,0.1888
0.02,4,1.1737,0.1891
0.02,5,1.1792,0.1956
0.02,6,1.1729,0.1897
0.02,7,1.1816,0.1972
0.02,8,1.1772,0.1948
0.02,9,1.1808,0.1957
0.02,10,1.1751,0.1897
0.02,11,1.1873,0.2043
0.02,12,1.1762,0.1905
0.02,13,1.181,0.198
0.02,14,1.1677,0.1812
0.02,15,1.1709,0.1874
0.02,16,1.18,0.195
0.03,0,1.279,0.3194
0.03,1,1.2849,0.3217
0.03,2,1.2846,0.3241
0.03,3,1.2791,0.3146
0.03,4,1.2835,0.3202
0.03,5,1.2806,0.3231
0.03,6,1.2836,0.3217
0.03,7,1.2843,0.3224
0.03,8,1.2785,0.3164
0.03,9,1.2851,0.3228
0.03,10,1.2772,0.3158
0.03,11,1.2886,0.326
0.03,12,1.2802,0.3166
0.03,13,1.2816,0.3198
0.03,14,1.2887,0.3319
0.03,15,1.2791,0.3175
0.03,16,1.2847,0.3191
0.04,0,1.3959,0.4757
0.04,1,1.3902,0.4608
0.04,2,1.4101,0.4869
0.04,3,1.4107,0.495
0.04,4,1.3995,0.4706
0.04,5,1.406,0.4835
