p,e,len,size
0.14,0,5.96435,17.0758
0.14,0.1,5.9429,16.89405
0.14,0.2,6.00115,17.1393
0.14,0.3,5.993,17.3132
0.14,0.4,5.90635,16.9658
0.14,0.5,5.8478,16.473
0.14,0.6,6.0305,17.296
0.14,0.7,5.9272,16.9071
0.14,0.8,5.93925,16.91025
0.14,0.9,6.033,17.40115
0.14,1,5.9728,17.0898
0.14,1.1,5.97165,17.207
0.14,1.2,5.9565,16.9906
0.14,1.3,5.8587,16.6411
0.14,1.4,5.9376,16.9717
0.14,1.5,5.9501,16.97415
0.14,1.6,5.9759,17.2261
0.14,1.7,5.92935,16.96095
0.14,1.8,5.9376,17.00945
0.14,1.9,5.9451,16.9486
0.14,2,5.9705,17.01175
0.14,2.1,6.0379,17.53765
0.14,2.2,5.98785,17.22235
0.14,2.3,6.01715,17.3515
0.14,2.4,5.95215,17.19725
0.14,2.5,5.97035,17.13595
0.14,2.6,5.9928,17.2952
0.14,2.7,5.9082,16.7341
0.14,2.8,5.9417,17.06045
0.14,2.9,5.98355,17.211
0.14,3,5.8998,16.7973
0.14,3.1,5.9467,17.01035
0.14,3.2,5.98005,17.3138
0.14,3.3,5.8853,16.84145
0.14,3.4,6.02205,17.289
0.14,3.5,5.94775,16.92295
0.14,3.6,5.89285,16.8609
0.14,3.7,5.9722,17.2038
0.14,3.8,5.9175,16.89345
0.14,3.9,5.9832,17.16985
0.14,4,5.96545,16.99355
0.14,4.1,5.94265,16.84145
0.14,4.2,5.9764,17.25305
0.14,4.3,5.99375,17.226
0.14,4.4,5.9478,16.9065
0.14,4.5,5.93425,16.9255
0.14,4.6,5.8309,16.6511
0.14,4.7,5.87935,16.83125
0.14,4.8,5.97575,17.1183
0.14,4.9,6.0048,17.14855
0.14,5,5.9776,17.1906
0.14,5.1,5.8711,16.62725
0.14,5.2,5.91735,16.8778
0.14,5.3,5.96475,17.0637
0.14,5.4,6.0051,17.1353
0.14,5.5,5.92155,16.8646
0.14,5.6,5.96605,16.9878
0.14,5.7,6.0125,17.23765
0.14,5.8,5.8793,16.7837
0.14,5.9,5.9013,16.71205
0.14,6,5.98145,17.07185
0.14,6.1,5.8784,16.6308
0.14,6.2,5.9577,17.17955
0.14,6.3,5.93765,16.9301
0.14,6.4,5.86445,16.5634
0.14,6.5,5.98495,17.14835
0.14,6.6,5.88765,16.5889
0.14,6.7,5.93905,16.98455
0.14,6.8,5.84185,16.40665
0.14,6.9,5.88465,16.76875
0.14,7,5.96055,17.072
0.14,7.1,5.99065,17.2056
0.14,7.2,5.93365,16.78345
0.14,7.3,5.85995,16.48735
0.14,7.4,5.93655,16.9047
0.14,7.5,5.8971,16.7117
0.14,7.6,5.8808,16.80575
0.14,7.7,5.9904,17.13995
0.14,7.8,5.94455,16.8057
0.14,7.9,5.8526,16.3978
0.14,8,5.8775,16.5384
0.14,8.1,5.9808,17.1535
0.14,8.2,5.84905,16.4477
0.14,8.3,5.8502,16.31025
0.14,8.4,5.9695,16.9762
0.14,8.5,5.93975,16.83235
0.14,8.6,5.88705,16.56675
0.14,8.7,5.862,16.71115
0.14,8.8,5.9467,16.92415
0.14,8.9,5.8793,16.606
0.14,9,5.85925,16.52855
0.14,9.1,5.9691,17.0677
0.14,9.2,5.87205,16.621
0.14,9.3,5.9394,16.83905
0.14,9.4,5.87935,16.6702
0.14,9.5,5.89625,16.543
0.14,9.6,5.89285,16.49755
0.14,9.7,5.89095,16.5752
0.14,9.8,5.89215,16.5957
0.14,9.9,5.87165,16.50975
0.14,10,5.849,16.4686
0.14,10.1,5.8468,16.3045
0.14,10.2,5.9285,16.66665
0.14,10.3,5.84045,16.53155
0.14,10.4,5.807,16.16205
0.14,10.5,5.7912,15.96075
0.14,10.6,5.96855,16.88265
0.14,10.7,5.87855,16.4935
0.14,10.8,5.92495,16.4947
0.14,10.9,5.81015,16.0908
0.14,11,5.87605,16.48845
0.14,11.1,5.7984,15.75995
0.14,11.2,5.86385,16.45925
0.14,11.3,5.9372,16.4223
0.14,11.4,5.8488,16.1006
0.14,11.5,5.81405,16.13745
0.14,11.6,5.8413,16.1948
0.14,11.7,5.8239,15.907
0.14,11.8,5.84755,16.2819
0.14,11.9,5.7982,15.9834
0.14,12,5.8433,16.08295
0.14,12.1,5.78005,15.9098
0.14,12.2,5.7696,15.75655
0.14,12.3,5.84645,15.9917
0.14,12.4,5.75895,15.71965
0.14,12.5,5.767,15.80615
0.14,12.6,5.77495,15.7601
0.14,12.7,5.72145,15.2863
0.14,12.8,5.75665,15.5336
0.14,12.9,5.74155,15.494
0.14,13,5.77015,15.56705
0.14,13.1,5.71255,15.39265
0.14,13.2,5.7785,15.5845
0.14,13.3,5.78155,15.5646
0.14,13.4,5.6615,15.0305
0.14,13.5,5.7091,15.2109
0.14,13.6,5.7217,15.13885
0.14,13.7,5.65905,14.83585
0.14,13.8,5.73915,15.2607
0.14,13.9,5.59255,14.54995
0.14,14,5.593,14.50505
0.14,14.1,5.63785,14.72465
0.14,14.2,5.55855,14.42175
0.14,14.3,5.5578,14.4206
0.14,14.4,5.5208,14.12205
0.14,14.5,5.54955,14.24585
0.14,14.6,5.5666,14.1439
0.14,14.7,5.4907,13.95675
0.14,14.8,5.46085,13.853
0.14,14.9,5.4813,13.7641
0.14,15,5.43905,13.4151
0.14,15.1,5.33975,13.19045
0.14,15.2,5.31415,12.9028
0.14,15.3,5.3225,12.84625
0.14,15.4,5.3013,12.82155
0.14,15.5,5.2948,12.5971
0.14,15.51,5.2193,12.2774
0.14,15.52,5.25985,12.5648
0.14,15.53,5.30305,12.7443
0.14,15.54,5.2766,12.50405
0.14,15.55,5.2275,12.39995
0.14,15.56,5.22675,12.36105
0.14,15.57,5.21185,12.31405
0.14,15.58,5.206,12.3137
0.14,15.59,5.2445,12.31475
0.14,15.6,5.2175,12.33065
0.14,15.61,5.24065,12.40815
0.14,15.62,5.1951,12.32875
0.14,15.63,5.20905,12.2539
0.14,15.64,5.16655,12.1499
0.14,15.65,5.15225,12.0076
