f,acc
0.01,0.2415525424
0.02,0.3037705479
0.03,0.3531903114
0.04,0.3928181818
0.05,0.4264452297
0.06,0.4557107143
0.07,0.481166065
0.08,0.502649635
0.09,0.519199262
0.1,0.5337835821
0.11,0.5519320755
0.12,0.5646603053
0.13,0.575
0.14,0.5864296875
0.15,0.5953636364
0.16,0.604724
0.17,0.6128582996
0.18,0.6179344262
0.19,0.6244647303
0.2,0.6311554622
0.21,0.6394680851
0.22,0.6413793103
0.23,0.6473449782
0.24,0.6512433628
0.25,0.657
0.26,0.6596
0.27,0.6623870968
0.28,0.6674859813
0.29,0.6685876777
0.3,0.6721057692
0.31,0.6741609756
0.32,0.6772079208
0.33,0.6797336683
0.34,0.6824693878
0.35,0.6849896373
0.36,0.6861473684
0.37,0.6883743316
0.38,0.6909184783
0.39,0.6919447514
0.4,0.6936685393
0.41,0.69504
0.42,0.6964302326
0.43,0.6978224852
0.44,0.7000120482
0.45,0.7001165644
0.46,0.70131875
0.47,0.7013694268
0.48,0.7027922078
0.49,0.7048543046
0.5,0.7056148649
0.51,0.7070890411
0.52,0.7078041958
0.53,0.7087714286
0.54,0.7091240876
0.55,0.7106641791
0.56,0.7089770992
0.57,0.7131953125
0.58,0.711784
0.59,0.7144344262
0.6,0.7129243697
0.61,0.7147241379
0.62,0.7157787611
0.63,0.7150272727
0.64,0.715
0.65,0.7151826923
0.66,0.7163564356
0.67,0.7180306122
0.68,0.7165052632
0.69,0.7165978261
0.7,0.7188202247
0.71,0.7189883721
0.72,0.7191686747
0.73,0.7178625
0.74,0.7216233766
0.75,0.7197297297
0.76,0.7194788732
0.77,0.7218823529
0.78,0.7218307692
0.79,0.7191451613
0.8,0.7216610169
0.81,0.7232678571
0.82,0.7213396226
0.83,0.72142
0.84,0.7212765957
0.85,0.7194318182
0.86,0.724195122
0.87,0.7223421053
0.88,0.7258571429
0.89,0.724
0.9,0.7225517241
0.91,0.7198076923
0.92,0.7295652174
0.93,0.72845
0.94,0.7201764706
0.95,0.7182142857
0.96,0.7262727273
0.97,0.71625
0.98,0.7228
0.99,0.727
