f,acc
0.01,0.4959459459
0.02,0.4954094828
0.03,0.4919956459
0.04,0.4909530792
0.05,0.4881653076
0.06,0.4875543071
0.07,0.4829447388
0.08,0.4814957919
0.09,0.4801198763
0.1,0.4774647887
0.11,0.4763053797
0.12,0.47514
0.13,0.4732160194
0.14,0.4714198036
0.15,0.4710024855
0.16,0.4690360436
0.17,0.4662807464
0.18,0.4656309013
0.19,0.4639617724
0.2,0.4619278169
0.21,0.4621434938
0.22,0.4614801444
0.23,0.4593281536
0.24,0.4592817424
0.25,0.458657277
0.26,0.4574928639
0.27,0.4547444552
0.28,0.4521260997
0.29,0.4515029762
0.3,0.4520120724
0.31,0.4497959184
0.32,0.4482142857
0.33,0.4475945378
0.34,0.4466008538
0.35,0.4425514626
0.36,0.4427172717
0.37,0.4445083799
0.38,0.4416799092
0.39,0.4424076212
0.4,0.4394131455
0.41,0.440274463
0.42,0.4385133495
0.43,0.4369901112
0.44,0.4351194969
0.45,0.4356274008
0.46,0.4367666232
0.47,0.4323705179
0.48,0.4311856369
0.49,0.4320165746
0.5,0.4272605634
0.51,0.4297413793
0.52,0.4270601173
0.53,0.425982009
0.54,0.4257886677
0.55,0.4241627543
0.56,0.423072
0.57,0.4218085106
0.58,0.4221979866
0.59,0.4211168385
0.6,0.4186707746
0.61,0.4183032491
0.62,0.4153246753
0.63,0.4169238095
0.64,0.4144129159
0.65,0.4136317907
0.66,0.413426501
0.67,0.4114102564
0.68,0.4119713656
0.69,0.411125
0.7,0.4099647887
0.71,0.409065534
0.72,0.4062216625
0.73,0.4071018277
0.74,0.4066802168
0.75,0.4041408451
0.76,0.4037096774
0.77,0.4030674847
0.78,0.4021153846
0.79,0.3976845638
0.8,0.4024119718
0.81,0.3984386617
0.82,0.3943137255
0.83,0.3963900415
0.84,0.3991409692
0.85,0.3934741784
0.86,0.3942676768
0.87,0.3891847826
0.88,0.3912058824
0.89,0.3933012821
0.9,0.3907042254
0.91,0.395511811
0.92,0.3912389381
0.93,0.3907070707
0.94,0.3908235294
0.95,0.3870422535
0.96,0.3842857143
0.97,0.3929761905
0.98,0.3876785714
0.99,0.3946428571
