f,d,n,p
0.01,0.5096122113,0.5000820536,0.500512046
0.02,0.5296987479,0.5015549333,0.5024660049
0.03,0.5519260989,0.5031244301,0.505073701
0.04,0.5731095783,0.5059081408,0.5154647204
0.05,0.5935592488,0.5091606939,0.5364431927
0.06,0.6098263583,0.5128270286,0.5711782465
0.07,0.6201102507,0.5172176271,0.6059212186
0.08,0.6304156475,0.5225742561,0.6343638315
0.09,0.6403366524,0.5286693358,0.657349134
0.1,0.6492151269,0.5350536297,0.6726515913
0.11,0.6574736072,0.5417013395,0.6896905424
0.12,0.6631813362,0.5498125172,0.7025245408
0.13,0.6669057055,0.5563683646,0.7122691793
0.14,0.6718624332,0.5644203606,0.7223458324
0.15,0.6763843795,0.5723435118,0.7303830778
0.16,0.6782982415,0.5813308191,0.7377594263
0.17,0.683256924,0.5895620816,0.7446008178
0.18,0.6850061524,0.5991488803,0.7501951024
0.19,0.6893919182,0.6076585624,0.757069196
0.2,0.6912404462,0.6177787977,0.7613396395
0.21,0.6942160535,0.6258713045,0.7669895048
0.22,0.6964394449,0.6363071523,0.7725635655
0.23,0.6969939161,0.6469646505,0.7767075465
0.24,0.6995098322,0.6555524288,0.7809832592
0.25,0.7010447666,0.6649880718,0.784363799
0.26,0.7030559331,0.6738332374,0.7866338228
0.27,0.7038678673,0.6827750053,0.7911065042
0.28,0.7060000825,0.6916678379,0.7945133824
0.29,0.7076184061,0.7010039094,0.7981997563
0.3,0.7089414509,0.7097855538,0.8001309293
0.31,0.709884869,0.7178649915,0.8026679411
0.32,0.7107121884,0.7264750607,0.805925106
0.33,0.7122527632,0.7346744427,0.808615726
0.34,0.7125403826,0.7419478319,0.8094680888
0.35,0.7136610143,0.7496737405,0.8117256349
0.36,0.7148907274,0.7578199761,0.8141982407
0.37,0.7159798313,0.7650459009,0.8166635573
0.38,0.7171062313,0.7727439119,0.8186736525
0.39,0.7171777583,0.7793064052,0.8194556288
0.4,0.7177350281,0.7861115094,0.8216831042
0.41,0.7182382535,0.7924273887,0.822983999
0.42,0.71978779,0.7993473276,0.8255921685
0.43,0.7199302581,0.8050749562,0.8262506125
0.44,0.720890107,0.809823077,0.8264033813
0.45,0.7212680007,0.8162778665,0.8280716811
0.46,0.7226972533,0.8230195826,0.8300051201
0.47,0.7226124146,0.828114082,0.8305446611
0.48,0.7229027409,0.8323738429,0.8305109782
0.49,0.7227854816,0.8381828871,0.8319435457
0.5,0.724882859,0.8444704147,0.8332743748
0.51,0.724687507,0.8478690601,0.833010847
0.52,0.7248843658,0.8504146325,0.8320405778
0.53,0.7255953954,0.8559716821,0.8324466297
0.54,0.7266456084,0.8603032135,0.8342048788
0.55,0.7264508799,0.8637753099,0.832946226
0.56,0.7277388065,0.8685954986,0.83420918
0.57,0.7273384436,0.8723973859,0.8344349862
0.58,0.7273343062,0.8754226801,0.8325990073
0.59,0.7285127831,0.8794700284,0.833685492
0.6,0.7293732835,0.8827355266,0.8331658901
0.61,0.7287161632,0.88588618,0.8324798081
0.62,0.729840232,0.8889434103,0.8324805154
0.63,0.7294977762,0.8909250487,0.8314717318
0.64,0.7302798514,0.8937196997,0.8307923835
0.65,0.730828972,0.8964150946,0.8296387566
0.66,0.7298926781,0.8995520843,0.8290924148
0.67,0.7313845867,0.9015359719,0.8286174814
0.68,0.7315450091,0.9030747345,0.8266066116
0.69,0.7313503719,0.9071860297,0.8271821703
0.7,0.7307280582,0.9084179027,0.8257486784
0.71,0.7320608898,0.910630119,0.8250648893
0.72,0.7332182814,0.9133589554,0.8245242718
0.73,0.7323749717,0.9156853456,0.8237918163
0.74,0.7336382756,0.9178296947,0.822844606
0.75,0.7333464996,0.9197417583,0.8215716653
0.76,0.7331612196,0.9219550168,0.821032812
0.77,0.7330554495,0.9221281682,0.8193914076
0.78,0.7319039797,0.9226680242,0.8175621903
0.79,0.7317025467,0.9250328598,0.8168011348
0.8,0.7332624313,0.9266635145,0.8158942519
0.81,0.7336824889,0.9282852991,0.8143455337
0.82,0.7358221952,0.9308532863,0.8142766234
0.83,0.7339144781,0.9316011929,0.8130075847
0.84,0.734846177,0.9332591217,0.8114664743
0.85,0.7312083918,0.9339748454,0.810064874
0.86,0.7352971261,0.9358828752,0.8090055771
0.87,0.7366231879,0.936158129,0.808130118
0.88,0.7335354538,0.9378358601,0.8062466162
0.89,0.7387795865,0.9415895872,0.807448028
0.9,0.7363818302,0.9420677932,0.8060205645
0.91,0.736884734,0.9414505038,0.8037140767
0.92,0.736985734,0.9437691465,0.8034214433
0.93,0.7347046074,0.9438978962,0.8016110166
0.94,0.7369826169,0.9425192882,0.7992585643
0.95,0.7380393072,0.944395397,0.7985354417
0.96,0.737956108,0.9460520549,0.7986479664
0.97,0.7378004918,0.9474491631,0.7969595205
0.98,0.736764271,0.9452857142,0.7948481285
0.99,0.7498473667,0.951751706,0.795912147
