f,d,n
0.01,0.5028786223,0.5007653424
0.02,0.5081395672,0.5035050921
0.03,0.5119230521,0.5074995694
0.04,0.5194920674,0.5141227284
0.05,0.5243994145,0.5204308959
0.06,0.5266877916,0.5288962905
0.07,0.5316175757,0.5370137685
0.08,0.5331445781,0.5467363927
0.09,0.5367515658,0.5597749887
0.1,0.5411681471,0.5720202843
0.11,0.5428498338,0.5856223217
0.12,0.5463437343,0.5998959104
0.13,0.549280672,0.6137831007
0.14,0.5523610381,0.6262764015
0.15,0.5499455499,0.6427931107
0.16,0.5517929701,0.6563109307
0.17,0.5542525042,0.6707302721
0.18,0.5551054388,0.6855538157
0.19,0.5563215483,0.6973398807
0.2,0.5572629238,0.7151557989
0.21,0.5558084151,0.7263787418
0.22,0.5592810912,0.7444397525
0.23,0.5568027642,0.755503551
0.24,0.5628125591,0.77348024
0.25,0.5646182689,0.7857993199
0.26,0.5663882416,0.7987163229
0.27,0.5602995385,0.8063705765
0.28,0.5660910223,0.8181095753
0.29,0.5656146228,0.8336916459
0.3,0.5630637651,0.8397476178
0.31,0.5644367629,0.8518466377
0.32,0.5666250097,0.8613520299
0.33,0.568630701,0.8711409522
0.34,0.570388644,0.8769135472
0.35,0.5689701998,0.8864476755
0.36,0.5685707602,0.8891770676
0.37,0.5707661603,0.8978434775
0.38,0.5711180227,0.906428516
0.39,0.5684226761,0.9133589592
0.4,0.5714328072,0.9227260553
0.41,0.5688365702,0.9274175057
0.42,0.5708037926,0.9311991454
0.43,0.5685404978,0.9342083665
0.44,0.5702369497,0.9398965729
0.45,0.5728017919,0.9453005975
0.46,0.5713153219,0.9448198026
0.47,0.5740667943,0.9526048876
0.48,0.5742645228,0.9543467459
0.49,0.5727907211,0.9614972581
0.5,0.5730691202,0.9616337837
0.51,0.5734010009,0.9656067476
0.52,0.5710548137,0.9635358268
0.53,0.5743275674,0.9709006434
0.54,0.5656814861,0.9706267819
0.55,0.5763693119,0.9760404225
0.56,0.5728209802,0.9768047297
0.57,0.5798741852,0.9774579834
0.58,0.5781086192,0.9811502212
0.59,0.5796540126,0.983074614
0.6,0.5793850862,0.983697339
0.61,0.5735660878,0.9850915627
0.62,0.5744100448,0.9854185409
0.63,0.5765619022,0.9872262419
0.64,0.5783127142,0.98834141
0.65,0.5823583446,0.9878303299
0.66,0.5752983125,0.9895461209
0.67,0.5673525478,0.9902484919
0.68,0.5785114321,0.9878225146
0.69,0.5707258495,0.9922919353
0.7,0.575120511,0.9932812348
0.71,0.5798668795,0.9917198923
0.72,0.5776013282,0.9920252796
0.73,0.572925507,0.9948519323
0.74,0.5815468638,0.9926012269
0.75,0.57606372,0.9960683721
0.76,0.5681483103,0.9933688385
0.77,0.5928287682,0.9977762233
0.78,0.5794141821,0.9981853096
0.79,0.5814715819,0.9949003731
0.8,0.581064574,0.9967207595
0.81,0.5820602828,0.9977212083
0.82,0.5814476194,0.9991905126
0.83,0.5747190877,0.9978060765
0.84,0.5804415554,0.9962952668
0.85,0.5755564401,0.9998791088
0.86,0.5688212177,0.9986429393
0.87,0.5832011529,0.9965009479
0.88,0.5813650041,0.997011244
0.89,0.5741348281,0.9949475146
0.9,0.5656057176,0.999915844
0.91,0.6037534168,0.9998686387
0.92,0.5822249987,0.9961643954
0.93,0.5550977926,0.9999254836
0.94,0.5924947868,0.999829739
0.95,0.5844601473,0.999889933
0.96,0.4649694076,0.9998804122
0.97,0.6783770167,0.9998804122
