f,d,n,p
0.01,0.5105365365,0.5002075817,0.5007815407
0.02,0.5342951037,0.5016079369,0.5019431086
0.03,0.5572405293,0.503378907,0.5061375043
0.04,0.5811250126,0.5056542904,0.5138280775
0.05,0.599683917,0.5095962872,0.5393198192
0.06,0.6171516921,0.5130770592,0.5771933924
0.07,0.6307787273,0.5171323288,0.6115139077
0.08,0.6439872401,0.5229470456,0.6430437863
0.09,0.6542254237,0.5291770439,0.6676974136
0.1,0.6620099479,0.5351914508,0.6828996344
0.11,0.6701249944,0.5419453688,0.6977944811
0.12,0.677123967,0.550508042,0.7117378462
0.13,0.6814872931,0.5574965769,0.722223116
0.14,0.6878701657,0.5658913097,0.7348040737
0.15,0.691412713,0.5730841159,0.7407596489
0.16,0.6964331946,0.5822810324,0.7499928915
0.17,0.6998234666,0.5913159038,0.7567679122
0.18,0.703406502,0.6005072637,0.7633322315
0.19,0.7041091854,0.6086180767,0.7674941969
0.2,0.7088677394,0.6189850012,0.7753216011
0.21,0.7105001733,0.6283006684,0.7790501806
0.22,0.7131529472,0.638367992,0.7846466368
0.23,0.7149120056,0.6478448744,0.7888464833
0.24,0.7182781835,0.6571979526,0.7932457658
0.25,0.7178536916,0.6661258127,0.7961831663
0.26,0.7198708091,0.6756680683,0.7987903047
0.27,0.721713052,0.6838663482,0.8018999664
0.28,0.7226567967,0.6931212127,0.8045806482
0.29,0.7240597118,0.7032872485,0.8087043671
0.3,0.7257618564,0.7114947106,0.8116697184
0.31,0.72658597,0.7205909223,0.814357853
0.32,0.7275155939,0.7278820537,0.8157148753
0.33,0.7294098575,0.7360917731,0.8186008212
0.34,0.7295703134,0.7445472002,0.8209860825
0.35,0.7309707852,0.753725745,0.8235027355
0.36,0.7313438676,0.76120507,0.8249717331
0.37,0.732561295,0.768501893,0.8270970629
0.38,0.73298456,0.7743900888,0.8280659804
0.39,0.73363945,0.7812991254,0.8297893207
0.4,0.7352081139,0.7896340387,0.8323949003
0.41,0.7355579758,0.7953015035,0.8331964678
0.42,0.7361369197,0.8014685109,0.8348161449
0.43,0.7359455475,0.8074182546,0.8351165767
0.44,0.7374955912,0.8132356348,0.8371076584
0.45,0.7373619662,0.8201554437,0.8381132027
0.46,0.7385177024,0.8245031407,0.8387288318
0.47,0.7389382572,0.8307583018,0.8401568559
0.48,0.7387610233,0.8342672917,0.8391304533
0.49,0.7399607163,0.8394878201,0.840292616
0.5,0.7413141242,0.8463470195,0.8426080424
0.51,0.7404447614,0.8488827705,0.8411969692
0.52,0.7411836627,0.8547654923,0.8425984718
0.53,0.7419122815,0.8586018309,0.8424515482
0.54,0.7426356872,0.864150392,0.8436710329
0.55,0.7440696622,0.8665983951,0.8430721844
0.56,0.7420977195,0.8710335482,0.8419957733
0.57,0.7439371563,0.8745006959,0.842782994
0.58,0.7443499181,0.8780867261,0.8428901715
0.59,0.7434391522,0.8814894338,0.8423823332
0.6,0.745939128,0.8851108385,0.8425610911
0.61,0.7451525269,0.8880754701,0.8422917736
0.62,0.7456812874,0.8916994658,0.8417779365
0.63,0.7443506144,0.8936562855,0.840988323
0.64,0.7463313578,0.897165816,0.8407861948
0.65,0.7462325423,0.8996406331,0.8404277589
0.66,0.7473452155,0.9026283976,0.8396696231
0.67,0.7467637961,0.9047094493,0.8388928544
0.68,0.7472304214,0.9072975896,0.8376621299
0.69,0.7480399376,0.9106935598,0.8378620081
0.7,0.7476970828,0.9121767188,0.8361341335
0.71,0.7495760861,0.914836759,0.8362905321
0.72,0.7476535427,0.9163642849,0.8349433169
0.73,0.7488037187,0.9189358233,0.8348677193
0.74,0.7481351578,0.9200992103,0.8329601797
0.75,0.7492923714,0.9224759297,0.8323936916
0.76,0.7495056734,0.9236712789,0.8306674426
0.77,0.7490059023,0.9256838467,0.8304766974
0.78,0.7494592482,0.9260948628,0.8280727257
0.79,0.7502292638,0.9294402797,0.8290442783
0.8,0.7498406771,0.9301978259,0.8271407809
0.81,0.750450796,0.9320120942,0.8264665982
0.82,0.7506314249,0.9330639177,0.825145895
0.83,0.751469461,0.9343198141,0.8237932068
0.84,0.7510763466,0.9353817636,0.8226470551
0.85,0.7497086529,0.9369136975,0.8219764433
0.86,0.7522850178,0.93815926,0.8201913558
0.87,0.7515972392,0.9398476921,0.8198429339
0.88,0.7541446592,0.9420067899,0.8196140888
0.89,0.7525332815,0.9439655477,0.818358823
0.9,0.7516654509,0.9424419189,0.8165325337
0.91,0.7540590186,0.9457654537,0.8161301518
0.92,0.7529448759,0.9450975471,0.8142116632
0.93,0.7499161141,0.9465422763,0.8132120948
0.94,0.752589669,0.9468681603,0.8120516722
0.95,0.7531685671,0.9461643756,0.8108074596
0.96,0.7520821531,0.9492841391,0.8105114535
0.97,0.7514548455,0.9498267613,0.8096964051
0.98,0.7505526369,0.952619998,0.8089217302
0.99,0.7614408375,0.9546610785,0.8082626914
